state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	default.ucld.mean	default.ucld.stdev	binary_loc.clock.rate	default.meanRate	default.coefficientOfVariation	default.covariance	binary_loc.meanRate	binary_loc.rates.Other.PEAL	binary_loc.rates.PEAL.Other	default.treeLikelihood	default.branchRates	binary_loc.branchRates	c_binary_loc.count[1]	c_binary_loc.OthertoPEAL[1]	c_binary_loc.PEALtoOther[1]	coalescent
32370000	-16038.083911890546	-912.1851008180662	-15125.89881107248	0.3520548035750389	2017.710958895055	3.604595622089981	1.3434492810753953	9.40691362041774	16.112481126623667	0.26725627065996116	0.2179538268538175	0.28821080496340057	0.22657909752281616	0.003540693657076217	0.010789010240528574	0.568843327004153	0.0027170596982174604	2.255146502122191	0.015097972688752629	0.5688433270041531	0.5929266989541073	0.44779619043848307	-15086.573143473535	-910.0051831267147	0.0	10.0	7.0	3.0	7.985781382525851
32380000	-16055.835581532385	-937.1748888658329	-15118.660692666552	0.48722953773246136	2017.5757841608977	4.5568057468383945	1.019825379756993	6.028134735978621	13.211153714905924	0.26965833164476083	0.21231220292310501	0.29568291090384347	0.22234655452828617	0.004657612218949822	0.031721469881778014	0.6036329100015906	0.0021358381974498366	2.4353114361279116	-0.049875349760127724	0.6036329100015904	0.41246584473092673	0.2486673346287671	-15088.92048476951	-910.0051831267147	0.0	11.0	8.0	1.0	-17.3919365921329
32390000	-16069.49884714346	-920.991611854497	-15148.507235288964	0.4023065062594853	2017.6607071923706	4.016380623089787	0.543538075114089	2.799963459425932	8.111347916358765	0.273568512638517	0.2156330325892575	0.2861854216249318	0.22461303314728912	0.005003366606340158	0.026578251235672284	0.5609504606992375	0.002113228624690785	3.3206098091830447	-0.039590114044909766	0.5609504606992372	2.1695154544739386	0.5019486031285513	-15109.746575716317	-910.0051831267147	0.0	9.0	7.0	2.0	-1.121374130129437
32400000	-16053.319465408658	-934.4274008699655	-15118.892064538693	0.34876497078715857	2017.714248727843	3.958754000452199	0.7320260193604259	4.281531476657829	7.810269633390384	0.2643743999689433	0.21001447124806868	0.29054178450103685	0.23506934428194662	0.011888369527144544	0.1650523822982867	2.18669965611232	0.002304713962327601	5.710505174195618	-0.0032832649588001007	2.1866996561123195	2.7958882762642854	3.184381744810219	-15088.665445006665	-910.0051831267147	0.0	11.0	5.0	7.0	-3.0436133154838396
32410000	-16052.83623881832	-911.7873027551943	-15141.048936063125	0.3604136906974789	2017.7026000079327	3.4205723547212523	0.853784608004453	7.051071023561327	10.511070288182763	0.26952091047217147	0.2079044811403276	0.29700289588663714	0.22557171250085925	0.011914671183759272	0.2842988218797468	2.0965566182599193	0.0022933261630454283	6.183505142217555	-0.01800452961229699	2.0965566182599202	2.089734448661882	0.3035819030008873	-15105.929837499112	-910.0051831267147	0.0	11.0	8.0	3.0	15.701740453867234
32420000	-16036.901827104242	-914.1687727038222	-15122.73305440042	0.4187382591117001	2017.6442754395184	3.7169485577232804	0.40335309783486945	1.9914804324743876	15.296174414651032	0.27030287596367086	0.21495214831006235	0.2879368769702272	0.22680809875603503	0.014153951286716792	0.431669231793028	1.6598264165882803	0.0028711544258467176	5.769805441408799	-0.023794784183632213	1.6598264165882801	2.4337410577005234	1.5514575746390384	-15089.082029627489	-910.0051831267147	0.0	11.0	5.0	6.0	14.240877600231283
32430000	-16040.367753585091	-901.8293902133037	-15138.538363371787	0.34241897612626365	2017.7205947225038	3.2922055114661983	0.5489133557705719	5.496394989526751	11.429885377021712	0.2694687556377596	0.21778738016245855	0.2866463983482932	0.22609746585148388	0.006929826529714906	0.061375869611901765	1.4247183312612044	0.0028567950731486105	4.003408837719069	-0.025866082806103974	1.4247183312612028	2.191245762967085	2.8067557769163476	-15099.967661146165	-910.0051831267147	0.0	10.0	7.0	3.0	24.396457466604136
32440000	-16038.787775404464	-887.4063211349564	-15151.381454269507	0.3690717808556345	2017.6939419177745	3.2223206027400995	0.48441720902223045	5.398440776257793	11.733116793209827	0.26811895615244846	0.21095494866342634	0.2910098287685381	0.22991626641558227	0.005512227668982032	0.01781690690760218	1.778860804441654	0.003403521776984009	2.1832264227739686	-0.04233561900581185	1.7788608044416547	0.43525913406933553	0.4671514353980367	-15117.10338300399	-910.0051831267147	0.0	13.0	6.0	5.0	35.58063193491142
32450000	-16045.135433875446	-894.7765147046479	-15150.358919170798	0.5023471254435433	2017.5606665731866	3.76387323733457	0.23404949686616586	-0.9080248557731816	13.656284846867502	0.26811895615244846	0.2137365872085779	0.2938932340793118	0.22425122255965696	0.00626050569212696	0.02001993876828894	1.5368718822204688	0.003175117794210215	2.433453641383891	0.046821926136205776	1.5368718822204697	0.7291643124326948	0.6209497039851355	-15112.48124809699	-910.0051831267147	0.0	11.0	8.0	5.0	28.14794034209854
32460000	-16027.595036982573	-897.7666606327351	-15129.828376349838	0.40074871600096934	2017.6622649826293	3.5403551377266482	0.5593229928722762	5.991020311289722	12.358883592321995	0.26807265882182135	0.2104692066049994	0.28510757221860084	0.23635056235457358	0.0035809769629290833	0.017454656731481992	1.683656236451285	0.002358771771706749	3.211103734253592	-0.027010613956579377	1.6836562364512848	0.5585558932369016	0.4482340144297979	-15096.25029079445	-910.0051831267147	0.0	10.0	7.0	3.0	25.451542764507867
32470000	-16012.696806446671	-874.5894599742408	-15138.10734647243	0.32138745810077113	2017.7416262405293	2.809594912463508	0.602847725909888	8.748234162336209	15.813306872706697	0.26355422943717793	0.21421556881115292	0.293771889684552	0.22845831206711226	0.006230595091571104	0.032658200748394636	1.159118188588699	0.0037245271542042232	2.9116491653901697	0.01811870563573769	1.1591181885886994	0.8780600026475656	1.0720626218654337	-15093.737215283481	-910.0051831267147	0.0	11.0	7.0	4.0	47.84256152024763
32480000	-16033.3977387727	-897.2046484633744	-15136.193090309327	0.3284583930526788	2017.7345553055775	3.184728897771599	0.9632406059779286	10.153391869935042	11.612913486105894	0.2653816657578383	0.21008638857985773	0.28374334810270124	0.2407885975595978	0.004273700947755078	0.014281075769190205	1.6329513545437793	0.0026460872023707726	2.4664046285125494	-0.03266416205762177	1.6329513545437786	0.8880364943312532	0.3271240078717667	-15105.338963734699	-910.0051831267147	0.0	11.0	7.0	4.0	26.067472548508007
32490000	-16036.685793545463	-905.7822671994832	-15130.90352634598	0.3353806298181797	2017.7276330688119	3.3697238099788547	1.4805138660971369	12.31930044935602	16.105094658089097	0.270852990221395	0.20731149947576236	0.2938715867755634	0.22796392352727432	0.004946127631754906	0.015226754360929077	0.8380904280277245	0.0027260387557932887	2.717643730925313	0.06455162689823986	0.8380904280277238	3.530141562102429	1.2090818834699222	-15099.716192328671	-910.0051831267147	0.0	9.0	7.0	3.0	19.429038738481392
32500000	-16050.917194206722	-911.6738933382989	-15139.243300868424	0.3222044973714001	2017.7408092012588	3.3766486372048763	1.787412436705036	13.084076916310218	15.469134155088463	0.26707972313092276	0.2137831910196206	0.28907444009845196	0.2300626457509998	0.004521180649604903	0.009638067690425247	0.8100052607302687	0.003316477188230759	2.0617884087308527	0.1273295695162976	0.8100052607302693	3.144565511869619	0.8878348773073981	-15106.459550736832	-910.0051831267147	0.0	8.0	5.0	4.0	12.765895655334564
32510000	-16039.232123060548	-901.7689899031344	-15137.463133157415	0.3340307258611208	2017.728982972769	3.255674565130897	1.0329521035405094	9.718021699201271	18.84455311748807	0.2702267532268017	0.2162486684246021	0.28463834569671076	0.2288862326518805	0.004463889125701044	0.010584367525180176	1.1861748713110611	0.0033774869496312116	2.2857585873705877	0.08984392783909628	1.186174871311061	0.505809686908924	0.34785307898265083	-15098.941662552814	-910.0051831267147	0.0	10.0	7.0	4.0	20.70439268840784
32520000	-16072.353197294879	-932.2216702215788	-15140.1315270733	0.36047522809178006	2017.7025384705385	3.995820282999154	1.5219478842577145	9.491594608821533	11.300893047465884	0.2625960182057838	0.21528725311744978	0.2955694700006348	0.22654725867612657	0.0023888654704552034	0.003710925481213233	1.203003021003895	0.0021829926752116304	1.643621938913536	0.10560402354400751	1.203003021003895	0.4158669098747494	0.24711946946461316	-15103.947850261215	-910.0051831267147	0.0	11.0	5.0	4.0	-10.217802250564292
